Iteration, Item, Cond, Prime, Target, P_DO, P_PO
1,1,same,show,show,0.4462000000000005,0.5537999999999995
1,1,diff,give,show,0.3827999999999999,0.6172000000000001
1,2,same,hand,hand,0.39420000000000016,0.6057999999999998
1,2,diff,send,hand,0.3545999999999997,0.6454000000000004
1,3,same,give,give,0.6854000000000001,0.3146
1,3,diff,lend,give,0.6983999999999999,0.3016000000000001
1,4,same,loan,loan,0.4868,0.5132
1,4,diff,give,loan,0.4360000000000001,0.5639999999999998
1,5,same,send,send,0.45080000000000003,0.5492
1,5,diff,post,send,0.43019999999999986,0.5698000000000002
1,6,same,give,give,0.6838000000000004,0.3161999999999995
1,6,diff,hand,give,0.6948000000000001,0.30519999999999997
1,7,same,post,post,0.5081999999999998,0.4918000000000002
1,7,diff,sell,post,0.43859999999999966,0.5614000000000003
1,8,same,lend,lend,0.5478000000000001,0.45219999999999994
1,8,diff,show,lend,0.47680000000000017,0.5231999999999998
1,9,same,show,show,0.43940000000000023,0.5605999999999998
1,9,diff,give,show,0.39259999999999967,0.6074000000000004
1,10,same,hand,hand,0.3777999999999999,0.6222
1,10,diff,send,hand,0.35540000000000005,0.6446
1,11,same,loan,loan,0.5059999999999997,0.49400000000000016
1,11,diff,give,loan,0.4486000000000001,0.5513999999999999
1,12,same,sell,sell,0.4243999999999998,0.5756000000000003
1,12,diff,show,sell,0.38519999999999954,0.6148000000000005
1,13,same,send,send,0.43100000000000016,0.569
1,13,diff,post,send,0.43140000000000006,0.5686
1,14,same,give,give,0.6981999999999997,0.30180000000000035
1,14,diff,hand,give,0.6972,0.30279999999999996
1,15,same,post,post,0.5083999999999997,0.49160000000000015
1,15,diff,send,post,0.43579999999999997,0.5642000000000001
1,16,same,show,show,0.44799999999999984,0.5520000000000002
1,16,diff,lend,show,0.4070000000000004,0.5929999999999996
1,17,same,hand,hand,0.4108000000000003,0.5891999999999997
1,17,diff,offer,hand,0.36439999999999984,0.6356000000000002
1,18,same,lend,lend,0.55,0.4499999999999999
1,18,diff,sell,lend,0.4872,0.5127999999999999
1,19,same,send,send,0.44640000000000013,0.5535999999999999
1,19,diff,show,send,0.42499999999999954,0.5750000000000005
1,20,same,show,show,0.44059999999999994,0.5594
1,20,diff,throw,show,0.4179999999999997,0.5820000000000003
1,21,same,loan,loan,0.5277999999999998,0.4722000000000002
1,21,diff,give,loan,0.45939999999999986,0.5406000000000002
1,22,same,give,give,0.6925999999999999,0.30740000000000006
1,22,diff,hand,give,0.6778000000000001,0.32219999999999993
1,23,same,lend,lend,0.5327999999999997,0.4672000000000003
1,23,diff,show,lend,0.5019999999999996,0.49800000000000055
1,24,same,send,send,0.43660000000000043,0.5633999999999997
1,24,diff,post,send,0.4168,0.5831999999999999
1,25,same,give,give,0.6881999999999998,0.31180000000000013
1,25,diff,lend,give,0.691,0.3090000000000001
1,26,same,hand,hand,0.4138000000000001,0.5861999999999998
1,26,diff,offer,hand,0.35619999999999996,0.6437999999999999
1,27,same,send,send,0.4343999999999998,0.5656000000000003
1,27,diff,show,send,0.40639999999999993,0.5936
1,28,same,show,show,0.4381999999999998,0.5618000000000002
1,28,diff,throw,show,0.39460000000000006,0.6053999999999998
1,29,same,loan,loan,0.5097999999999998,0.4902000000000002
1,29,diff,give,loan,0.4241999999999995,0.5758000000000004
1,30,same,hand,hand,0.3886000000000003,0.6113999999999997
1,30,diff,give,hand,0.32739999999999997,0.6726000000000002
1,31,same,lend,lend,0.5613999999999999,0.4386000000000001
1,31,diff,show,lend,0.4953999999999997,0.5046000000000003
1,32,same,send,send,0.4309999999999995,0.5690000000000005
1,32,diff,post,send,0.42540000000000017,0.5745999999999998
2,1,same,show,show,0.41500000000000037,0.5849999999999996
2,1,diff,give,show,0.4196000000000001,0.5803999999999998
2,2,same,hand,hand,0.3576000000000001,0.6424
2,2,diff,send,hand,0.3455999999999993,0.6544000000000006
2,3,same,give,give,0.6867999999999994,0.31320000000000053
2,3,diff,lend,give,0.6841999999999999,0.31580000000000014
2,4,same,loan,loan,0.5066000000000002,0.4933999999999997
2,4,diff,give,loan,0.4399999999999998,0.5600000000000002
2,5,same,send,send,0.4420000000000002,0.5579999999999998
2,5,diff,post,send,0.4125999999999999,0.5874
2,6,same,give,give,0.6760000000000002,0.3239999999999999
2,6,diff,hand,give,0.6778000000000002,0.3221999999999998
2,7,same,post,post,0.49219999999999997,0.5078000000000001
2,7,diff,sell,post,0.4787999999999999,0.5212000000000001
2,8,same,lend,lend,0.5385999999999999,0.46140000000000014
2,8,diff,show,lend,0.5066000000000002,0.49339999999999984
2,9,same,show,show,0.42700000000000016,0.5729999999999998
2,9,diff,give,show,0.38040000000000024,0.6195999999999998
2,10,same,hand,hand,0.43039999999999995,0.5696000000000001
2,10,diff,send,hand,0.35259999999999986,0.6474000000000002
2,11,same,loan,loan,0.5229999999999999,0.477
2,11,diff,give,loan,0.4303999999999996,0.5696000000000003
2,12,same,sell,sell,0.43140000000000006,0.5685999999999999
2,12,diff,show,sell,0.37720000000000004,0.6227999999999999
2,13,same,send,send,0.44699999999999984,0.5530000000000002
2,13,diff,post,send,0.4211999999999996,0.5788000000000004
2,14,same,give,give,0.6914000000000003,0.3085999999999997
2,14,diff,hand,give,0.6951999999999999,0.30480000000000007
2,15,same,post,post,0.5186000000000002,0.4813999999999998
2,15,diff,send,post,0.4402000000000003,0.5597999999999997
2,16,same,show,show,0.43679999999999986,0.5632000000000001
2,16,diff,lend,show,0.41259999999999997,0.5874
2,17,same,hand,hand,0.42579999999999973,0.5742000000000002
2,17,diff,offer,hand,0.3388000000000002,0.6611999999999998
2,18,same,lend,lend,0.5474000000000002,0.4525999999999998
2,18,diff,sell,lend,0.5145999999999998,0.4854000000000002
2,19,same,send,send,0.42420000000000013,0.5757999999999999
2,19,diff,show,send,0.4124,0.5875999999999999
2,20,same,show,show,0.4508000000000002,0.5491999999999998
2,20,diff,throw,show,0.3811999999999996,0.6188000000000005
2,21,same,loan,loan,0.5217999999999998,0.4782000000000001
2,21,diff,give,loan,0.46340000000000003,0.5366000000000001
2,22,same,give,give,0.7000000000000002,0.2999999999999999
2,22,diff,hand,give,0.696,0.30399999999999994
2,23,same,lend,lend,0.5632000000000003,0.4367999999999998
2,23,diff,show,lend,0.4877999999999999,0.5122000000000001
2,24,same,send,send,0.43320000000000003,0.5668
2,24,diff,post,send,0.39659999999999984,0.6034000000000002
2,25,same,give,give,0.6726000000000001,0.3274
2,25,diff,lend,give,0.6968000000000001,0.30319999999999986
2,26,same,hand,hand,0.3917999999999999,0.6082000000000003
2,26,diff,offer,hand,0.3708,0.6292000000000001
2,27,same,send,send,0.42779999999999985,0.5722000000000002
