Iteration, Item, Cond, Prime, Target, P_DO, P_PO
1,1,same,show,show,0.3649999999999999,0.635
1,1,diff,give,show,0.3802000000000001,0.6197999999999999
1,2,same,hand,hand,0.3091999999999999,0.6908000000000001
1,2,diff,send,hand,0.34459999999999974,0.6554000000000002
1,3,same,give,give,0.6733999999999999,0.3266000000000001
1,3,diff,lend,give,0.6607999999999998,0.33920000000000017
1,4,same,loan,loan,0.3860000000000005,0.6139999999999994
1,4,diff,give,loan,0.4240000000000002,0.5759999999999998
1,5,same,send,send,0.38860000000000056,0.6113999999999995
1,5,diff,post,send,0.41320000000000034,0.5867999999999995
1,6,same,give,give,0.6831999999999998,0.31680000000000025
1,6,diff,hand,give,0.6792000000000002,0.32079999999999986
1,7,same,post,post,0.3992000000000002,0.6007999999999997
1,7,diff,sell,post,0.42600000000000027,0.5739999999999997
1,8,same,lend,lend,0.4249999999999996,0.5750000000000003
1,8,diff,show,lend,0.4722000000000001,0.5277999999999999
1,9,same,show,show,0.3470000000000001,0.6529999999999998
1,9,diff,give,show,0.41939999999999966,0.5806000000000003
1,10,same,hand,hand,0.32920000000000044,0.6707999999999996
1,10,diff,send,hand,0.33559999999999995,0.6644
1,11,same,loan,loan,0.36479999999999957,0.6352000000000004
1,11,diff,give,loan,0.4427999999999997,0.5572000000000004
1,12,same,sell,sell,0.3491999999999997,0.6508000000000004
1,12,diff,show,sell,0.344,0.6559999999999999
1,13,same,send,send,0.3834000000000003,0.6165999999999998
1,13,diff,post,send,0.4325999999999998,0.5674000000000001
1,14,same,give,give,0.6696,0.33039999999999986
1,14,diff,hand,give,0.6914000000000001,0.3086
1,15,same,post,post,0.3991999999999997,0.6008000000000003
1,15,diff,send,post,0.43699999999999994,0.5630000000000002
1,16,same,show,show,0.34139999999999965,0.6586000000000005
1,16,diff,lend,show,0.3654000000000004,0.6345999999999997
1,17,same,hand,hand,0.3191999999999999,0.6808000000000001
1,17,diff,offer,hand,0.35339999999999955,0.6466000000000005
1,18,same,lend,lend,0.44400000000000006,0.5559999999999999
1,18,diff,sell,lend,0.48099999999999954,0.5190000000000005
1,19,same,send,send,0.38760000000000006,0.6123999999999999
1,19,diff,show,send,0.4126000000000002,0.5873999999999997
1,20,same,show,show,0.30979999999999974,0.6902000000000003
1,20,diff,throw,show,0.3865999999999996,0.6134000000000004
1,21,same,loan,loan,0.37120000000000003,0.6287999999999999
1,21,diff,give,loan,0.43120000000000014,0.5687999999999999
1,22,same,give,give,0.6762000000000006,0.32379999999999953
1,22,diff,hand,give,0.6752,0.3248
1,23,same,lend,lend,0.453,0.5469999999999999
1,23,diff,show,lend,0.4738,0.5262
1,24,same,send,send,0.40059999999999996,0.5994000000000002
1,24,diff,post,send,0.41020000000000023,0.5897999999999997
1,25,same,give,give,0.6854000000000003,0.3145999999999997
1,25,diff,lend,give,0.6880000000000002,0.31199999999999983
1,26,same,hand,hand,0.3126,0.6874
1,26,diff,offer,hand,0.34299999999999964,0.6570000000000005
1,27,same,send,send,0.3735999999999999,0.6264000000000001
1,27,diff,show,send,0.3882000000000002,0.6117999999999998
1,28,same,show,show,0.35759999999999975,0.6424000000000002
1,28,diff,throw,show,0.3764000000000005,0.6235999999999995
1,29,same,loan,loan,0.39940000000000053,0.6005999999999995
1,29,diff,give,loan,0.43179999999999996,0.5682
1,30,same,hand,hand,0.3137999999999998,0.6862000000000001
1,30,diff,give,hand,0.3441999999999997,0.6558000000000004
1,31,same,lend,lend,0.4126000000000001,0.5873999999999999
1,31,diff,show,lend,0.4662,0.5337999999999999
1,32,same,send,send,0.39120000000000016,0.6087999999999998
1,32,diff,post,send,0.4009999999999997,0.5990000000000002
2,1,same,show,show,0.3383999999999998,0.6616000000000002
2,1,diff,give,show,0.3802000000000001,0.6197999999999999
2,2,same,hand,hand,0.3109999999999996,0.6890000000000003
2,2,diff,send,hand,0.3224,0.6776
2,3,same,give,give,0.6838000000000002,0.31619999999999987
2,3,diff,lend,give,0.6721999999999999,0.32780000000000004
2,4,same,loan,loan,0.39280000000000004,0.6072
2,4,diff,give,loan,0.43120000000000047,0.5687999999999995
2,5,same,send,send,0.3827999999999999,0.6172000000000001
2,5,diff,post,send,0.4096,0.5903999999999999
2,6,same,give,give,0.6862000000000003,0.3137999999999998
2,6,diff,hand,give,0.6844,0.3156
2,7,same,post,post,0.3712000000000001,0.6287999999999998
2,7,diff,sell,post,0.44200000000000017,0.5579999999999997
2,8,same,lend,lend,0.43340000000000023,0.5665999999999998
2,8,diff,show,lend,0.46960000000000024,0.5303999999999998
2,9,same,show,show,0.36159999999999987,0.6384000000000003
2,9,diff,give,show,0.37340000000000007,0.6265999999999999
2,10,same,hand,hand,0.31080000000000024,0.6891999999999997
2,10,diff,send,hand,0.32,0.6799999999999999
2,11,same,loan,loan,0.38380000000000014,0.6161999999999999
2,11,diff,give,loan,0.4355999999999999,0.5644000000000001
2,12,same,sell,sell,0.33039999999999964,0.6696000000000004
2,12,diff,show,sell,0.35380000000000045,0.6461999999999994
2,13,same,send,send,0.4010000000000001,0.5989999999999999
2,13,diff,post,send,0.4200000000000001,0.58
2,14,same,give,give,0.6640000000000003,0.33599999999999974
2,14,diff,hand,give,0.6692000000000001,0.33079999999999987
2,15,same,post,post,0.3834000000000002,0.6165999999999999
2,15,diff,send,post,0.4268000000000003,0.5731999999999997
2,16,same,show,show,0.32940000000000014,0.6705999999999999
2,16,diff,lend,show,0.3623999999999997,0.6376000000000002
2,17,same,hand,hand,0.2909999999999998,0.7090000000000003
2,17,diff,offer,hand,0.31799999999999984,0.6820000000000002
2,18,same,lend,lend,0.43579999999999997,0.5642
2,18,diff,sell,lend,0.48260000000000014,0.5173999999999999
2,19,same,send,send,0.36780000000000007,0.6322
2,19,diff,show,send,0.4203999999999999,0.5796000000000001
2,20,same,show,show,0.35399999999999976,0.6460000000000002
2,20,diff,throw,show,0.3745999999999997,0.6254000000000003
2,21,same,loan,loan,0.3653999999999997,0.6346000000000003
2,21,diff,give,loan,0.40979999999999983,0.5902000000000002
2,22,same,give,give,0.6821999999999999,0.31779999999999997
2,22,diff,hand,give,0.5806000000000002,0.4193999999999999
2,23,same,lend,lend,0.4366000000000003,0.5633999999999997
