Iteration, Item, Cond, Target, P_DO, P_PO
1,1,control,show,0.36319999999999975,0.6368000000000004
1,2,control,hand,0.3371999999999999,0.6628000000000002
1,3,control,give,0.6905999999999997,0.30940000000000023
1,4,control,loan,0.4462000000000004,0.5537999999999996
1,5,control,send,0.4129999999999999,0.587
1,6,control,give,0.7111999999999998,0.2888000000000001
1,7,control,post,0.43180000000000013,0.5681999999999998
1,8,control,lend,0.47259999999999996,0.5274
1,9,control,show,0.39620000000000005,0.6038
1,10,control,hand,0.33000000000000007,0.6699999999999999
1,11,control,loan,0.45519999999999966,0.5448000000000004
1,12,control,sell,0.3690000000000001,0.6309999999999999
1,13,control,send,0.40779999999999994,0.5922000000000001
1,14,control,give,0.6566000000000003,0.34339999999999976
1,15,control,post,0.4515999999999998,0.5484000000000002
1,16,control,show,0.37359999999999993,0.6264000000000001
1,17,control,hand,0.36039999999999983,0.6396000000000002
1,18,control,lend,0.47480000000000017,0.5251999999999998
1,19,control,send,0.39279999999999976,0.6072000000000002
1,20,control,show,0.38239999999999996,0.6176
1,21,control,loan,0.43420000000000036,0.5657999999999996
1,22,control,give,0.6976,0.30240000000000006
1,23,control,lend,0.48579999999999995,0.5142
1,24,control,send,0.4266,0.5733999999999999
1,25,control,give,0.6813999999999996,0.31860000000000044
1,26,control,hand,0.3513999999999998,0.6486000000000003
1,27,control,send,0.39880000000000027,0.6011999999999997
1,28,control,show,0.38959999999999995,0.6104
1,29,control,loan,0.44820000000000015,0.5517999999999998
1,30,control,hand,0.35620000000000007,0.6437999999999999
1,31,control,lend,0.5108000000000003,0.4891999999999997
1,32,control,send,0.4028000000000002,0.5971999999999998
2,1,control,show,0.3925999999999998,0.6074000000000003
2,2,control,hand,0.3292,0.6708000000000001
2,3,control,give,0.6863999999999999,0.31360000000000005
2,4,control,loan,0.43480000000000046,0.5651999999999995
2,5,control,send,0.40939999999999965,0.5906000000000003
2,6,control,give,0.6882000000000001,0.31179999999999986
2,7,control,post,0.41959999999999975,0.5804000000000001
2,8,control,lend,0.4946000000000001,0.5053999999999998
2,9,control,show,0.3613999999999998,0.6386000000000002
2,10,control,hand,0.3694000000000004,0.6305999999999996
2,11,control,loan,0.43360000000000004,0.5663999999999999
2,12,control,sell,0.34779999999999966,0.6522000000000004
2,13,control,send,0.38960000000000017,0.6103999999999999
