Iteration, Item, Cond, Prime, Target, P_DO, P_PO
1,1,same,show,show,0.342,0.6579999999999999
1,1,diff,give,show,0.30459999999999987,0.6954000000000001
1,2,same,hand,hand,0.25400000000000017,0.7459999999999999
1,2,diff,send,hand,0.2002,0.7998000000000001
1,3,same,give,give,0.7143999999999997,0.2856000000000003
1,3,diff,lend,give,0.6938000000000001,0.30619999999999997
1,4,same,loan,loan,0.4478000000000002,0.5521999999999998
1,4,diff,give,loan,0.40520000000000017,0.5947999999999998
1,5,same,send,send,0.3899999999999998,0.6100000000000001
1,5,diff,post,send,0.41039999999999993,0.5896
1,6,same,give,give,0.6971999999999997,0.30280000000000024
1,6,diff,hand,give,0.7099999999999999,0.29000000000000015
1,7,same,post,post,0.46680000000000016,0.5331999999999999
1,7,diff,sell,post,0.4148000000000001,0.5851999999999999
1,8,same,lend,lend,0.5780000000000002,0.42199999999999993
1,8,diff,show,lend,0.5279999999999999,0.47200000000000003
1,9,same,show,show,0.32800000000000007,0.6719999999999999
1,9,diff,give,show,0.32120000000000004,0.6787999999999998
1,10,same,hand,hand,0.2485999999999998,0.7514000000000003
1,10,diff,send,hand,0.19140000000000004,0.8086
1,11,same,loan,loan,0.47419999999999973,0.5258000000000003
1,11,diff,give,loan,0.38859999999999995,0.6114000000000002
1,12,same,sell,sell,0.30020000000000013,0.6997999999999999
1,12,diff,show,sell,0.26419999999999977,0.7358000000000002
1,13,same,send,send,0.39220000000000016,0.6077999999999998
1,13,diff,post,send,0.39579999999999993,0.6042000000000001
1,14,same,give,give,0.6939999999999997,0.3060000000000001
1,14,diff,hand,give,0.7002000000000002,0.2997999999999999
1,15,same,post,post,0.4536000000000003,0.5463999999999998
1,15,diff,send,post,0.38040000000000007,0.6195999999999998
1,16,same,show,show,0.3503999999999999,0.6496000000000002
1,16,diff,lend,show,0.31019999999999986,0.6898000000000002
1,17,same,hand,hand,0.2531999999999997,0.7468000000000004
1,17,diff,offer,hand,0.20660000000000006,0.7933999999999999
1,18,same,lend,lend,0.5806,0.41940000000000005
1,18,diff,sell,lend,0.5440000000000002,0.45599999999999985
1,19,same,send,send,0.38880000000000003,0.6111999999999999
1,19,diff,show,send,0.4127999999999999,0.5872000000000002
1,20,same,show,show,0.3497999999999996,0.6502000000000003
1,20,diff,throw,show,0.32300000000000006,0.6769999999999998
1,21,same,loan,loan,0.4571999999999999,0.5428000000000002
1,21,diff,give,loan,0.37439999999999973,0.6256000000000002
1,22,same,give,give,0.6925999999999997,0.30740000000000034
1,22,diff,hand,give,0.6952,0.30479999999999996
1,23,same,lend,lend,0.5648000000000002,0.43519999999999986
1,23,diff,show,lend,0.5196,0.48040000000000005
1,24,same,send,send,0.39139999999999997,0.6086
1,24,diff,post,send,0.4099999999999999,0.5900000000000001
1,25,same,give,give,0.7074000000000001,0.2925999999999998
1,25,diff,lend,give,0.6901999999999999,0.30979999999999996
1,26,same,hand,hand,0.2408,0.7592000000000001
1,26,diff,offer,hand,0.2158000000000001,0.7841999999999998
1,27,same,send,send,0.3946000000000002,0.6053999999999998
1,27,diff,show,send,0.39060000000000045,0.6093999999999995
1,28,same,show,show,0.33880000000000005,0.6612
1,28,diff,throw,show,0.312,0.6880000000000001
1,29,same,loan,loan,0.44680000000000003,0.5532
1,29,diff,give,loan,0.39260000000000017,0.6073999999999998
1,30,same,hand,hand,0.21819999999999998,0.7817999999999999
1,30,diff,give,hand,0.20339999999999975,0.7966000000000003
1,31,same,lend,lend,0.5648000000000001,0.43520000000000003
1,31,diff,show,lend,0.5202000000000001,0.4797999999999999
1,32,same,send,send,0.4179999999999999,0.5820000000000001
1,32,diff,post,send,0.39260000000000017,0.6073999999999997
2,1,same,show,show,0.35639999999999983,0.6436000000000002
2,1,diff,give,show,0.3358000000000001,0.6641999999999999
2,2,same,hand,hand,0.27259999999999995,0.7274
2,2,diff,send,hand,0.18759999999999966,0.8124000000000002
2,3,same,give,give,0.7109999999999999,0.2890000000000002
2,3,diff,lend,give,0.6924,0.30759999999999993
2,4,same,loan,loan,0.4524,0.5476000000000001
2,4,diff,give,loan,0.40459999999999985,0.5954000000000002
2,5,same,send,send,0.4080000000000001,0.5919999999999999
2,5,diff,post,send,0.3924000000000003,0.6075999999999997
2,6,same,give,give,0.7162000000000001,0.28379999999999994
2,6,diff,hand,give,0.7064000000000001,0.2935999999999998
2,7,same,post,post,0.4722,0.5278
2,7,diff,sell,post,0.41059999999999985,0.5894000000000001
2,8,same,lend,lend,0.5592,0.44079999999999997
2,8,diff,show,lend,0.5471999999999997,0.4528000000000004
2,9,same,show,show,0.3659999999999999,0.6340000000000001
2,9,diff,give,show,0.2945999999999999,0.7054
2,10,same,hand,hand,0.2411999999999998,0.7588000000000001
2,10,diff,send,hand,0.21059999999999982,0.7894000000000002
2,11,same,loan,loan,0.4540000000000003,0.5459999999999998
2,11,diff,give,loan,0.35939999999999983,0.6406000000000001
2,12,same,sell,sell,0.2853999999999997,0.7146000000000002
2,12,diff,show,sell,0.2650000000000001,0.7349999999999999
2,13,same,send,send,0.38259999999999983,0.6174000000000002
2,13,diff,post,send,0.36219999999999974,0.6378000000000001
2,14,same,give,give,0.7078000000000003,0.29219999999999974
2,14,diff,hand,give,0.6998000000000001,0.30019999999999997
2,15,same,post,post,0.43840000000000007,0.5615999999999999
2,15,diff,send,post,0.39339999999999997,0.6066
2,16,same,show,show,0.3489999999999998,0.6510000000000001
2,16,diff,lend,show,0.32319999999999993,0.6768000000000001
2,17,same,hand,hand,0.27019999999999994,0.7298000000000001
2,17,diff,offer,hand,0.19800000000000012,0.8019999999999999
2,18,same,lend,lend,0.5777999999999998,0.42220000000000024
2,18,diff,sell,lend,0.5674000000000003,0.43259999999999976
2,19,same,send,send,0.3899999999999999,0.6100000000000001
2,19,diff,show,send,0.38820000000000016,0.6117999999999998
2,20,same,show,show,0.3402000000000002,0.6597999999999997
2,20,diff,throw,show,0.3104000000000001,0.6895999999999998
2,21,same,loan,loan,0.45320000000000005,0.5468000000000001
2,21,diff,give,loan,0.39780000000000004,0.6022
2,22,same,give,give,0.6925999999999999,0.3074000000000001
2,22,diff,hand,give,0.7065999999999997,0.2934000000000003
2,23,same,lend,lend,0.6010000000000001,0.3989999999999999
2,23,diff,show,lend,0.5302000000000002,0.4697999999999999
2,24,same,send,send,0.3872000000000002,0.6127999999999998
2,24,diff,post,send,0.38759999999999994,0.6124
2,25,same,give,give,0.6975999999999999,0.30240000000000006
2,25,diff,lend,give,0.7,0.30000000000000004
2,26,same,hand,hand,0.2620000000000001,0.7379999999999999
2,26,diff,offer,hand,0.2138,0.7862
2,27,same,send,send,0.37880000000000014,0.6211999999999999
2,27,diff,show,send,0.38419999999999993,0.6158000000000001
2,28,same,show,show,0.3327999999999997,0.6672000000000002
2,28,diff,throw,show,0.30619999999999997,0.6938000000000001
2,29,same,loan,loan,0.42419999999999974,0.5758000000000003
2,29,diff,give,loan,0.38180000000000014,0.6181999999999999
2,30,same,hand,hand,0.24519999999999995,0.7548000000000001
2,30,diff,give,hand,0.1984000000000001,0.8015999999999999
2,31,same,lend,lend,0.5596,0.4404
2,31,diff,show,lend,0.548,0.45199999999999996
2,32,same,send,send,0.4096000000000003,0.5903999999999997
2,32,diff,post,send,0.37319999999999953,0.6268000000000004
3,1,same,show,show,0.3450000000000002,0.6549999999999998
3,1,diff,give,show,0.31580000000000014,0.6841999999999998
3,2,same,hand,hand,0.2598,0.7402
3,2,diff,send,hand,0.19959999999999967,0.8004000000000003
3,3,same,give,give,0.6954,0.3046
3,3,diff,lend,give,0.692,0.30800000000000005
3,4,same,loan,loan,0.45539999999999986,0.5446000000000001
3,4,diff,give,loan,0.39679999999999993,0.6032000000000001
3,5,same,send,send,0.4129999999999999,0.5870000000000001
3,5,diff,post,send,0.4042000000000001,0.5957999999999998
3,6,same,give,give,0.6833999999999999,0.31660000000000005
3,6,diff,hand,give,0.7014000000000001,0.2985999999999998
3,7,same,post,post,0.47520000000000007,0.5248
3,7,diff,sell,post,0.3879999999999999,0.6120000000000001
3,8,same,lend,lend,0.5768000000000003,0.4231999999999997
3,8,diff,show,lend,0.5265999999999998,0.4734000000000001
3,9,same,show,show,0.35719999999999963,0.6428000000000004
3,9,diff,give,show,0.31580000000000014,0.6841999999999998
3,10,same,hand,hand,0.2291999999999999,0.7708000000000002
3,10,diff,send,hand,0.1879999999999998,0.8120000000000003
3,11,same,loan,loan,0.4702000000000001,0.5297999999999998
3,11,diff,give,loan,0.38100000000000045,0.6189999999999996
3,12,same,sell,sell,0.2934000000000001,0.7066
3,12,diff,show,sell,0.23760000000000012,0.7624
3,13,same,send,send,0.3872000000000003,0.6127999999999998
3,13,diff,post,send,0.39380000000000004,0.6062
3,14,same,give,give,0.7102000000000003,0.28979999999999984
3,14,diff,hand,give,0.7203999999999997,0.27960000000000035
3,15,same,post,post,0.4498000000000001,0.5502
3,15,diff,send,post,0.39720000000000033,0.6027999999999997
3,16,same,show,show,0.35120000000000007,0.6487999999999999
3,16,diff,lend,show,0.3138,0.6862
3,17,same,hand,hand,0.2651999999999998,0.7348000000000001
3,17,diff,offer,hand,0.2076000000000001,0.7924
3,18,same,lend,lend,0.5622,0.4377999999999999
3,18,diff,sell,lend,0.5286,0.4714
3,19,same,send,send,0.39499999999999996,0.6050000000000001
3,19,diff,show,send,0.3884000000000001,0.6115999999999999
3,20,same,show,show,0.33800000000000024,0.6619999999999997
3,20,diff,throw,show,0.29599999999999993,0.7040000000000002
3,21,same,loan,loan,0.42040000000000005,0.5796
3,21,diff,give,loan,0.38380000000000014,0.6161999999999999
3,22,same,give,give,0.7048,0.2951999999999999
3,22,diff,hand,give,0.7142,0.2857999999999999
3,23,same,lend,lend,0.5541999999999999,0.44580000000000014
3,23,diff,show,lend,0.5191999999999999,0.48080000000000006
3,24,same,send,send,0.3972,0.6028000000000001
3,24,diff,post,send,0.39760000000000006,0.6023999999999999
3,25,same,give,give,0.7038,0.2962
3,25,diff,lend,give,0.7182,0.28180000000000005
3,26,same,hand,hand,0.24779999999999971,0.7522000000000003
3,26,diff,offer,hand,0.21200000000000002,0.788
3,27,same,send,send,0.3824,0.6176
3,27,diff,show,send,0.3897999999999999,0.6102000000000001
3,28,same,show,show,0.36760000000000015,0.6323999999999999
3,28,diff,throw,show,0.3151999999999997,0.6848000000000003
3,29,same,loan,loan,0.43300000000000016,0.5669999999999998
3,29,diff,give,loan,0.3937999999999999,0.6062000000000001
3,30,same,hand,hand,0.2531999999999997,0.7468000000000001
3,30,diff,give,hand,0.20299999999999996,0.797
3,31,same,lend,lend,0.5880000000000001,0.41200000000000003
3,31,diff,show,lend,0.5065999999999999,0.4934000000000001
3,32,same,send,send,0.40859999999999974,0.5914000000000003
3,32,diff,post,send,0.38019999999999954,0.6198000000000004
4,1,same,show,show,0.3442000000000001,0.6557999999999998
4,1,diff,give,show,0.2991999999999997,0.7008000000000002
4,2,same,hand,hand,0.24219999999999972,0.7578000000000003
4,2,diff,send,hand,0.1979999999999999,0.802
4,3,same,give,give,0.7158,0.28419999999999995
4,3,diff,lend,give,0.7,0.30000000000000004
4,4,same,loan,loan,0.45739999999999986,0.5426000000000001
4,4,diff,give,loan,0.39199999999999996,0.608
4,5,same,send,send,0.4038,0.5962
4,5,diff,post,send,0.39679999999999993,0.6032000000000001
4,6,same,give,give,0.7144000000000001,0.28559999999999985
4,6,diff,hand,give,0.6903999999999997,0.3096000000000002
4,7,same,post,post,0.4309999999999999,0.5690000000000001
4,7,diff,sell,post,0.40859999999999985,0.5914
4,8,same,lend,lend,0.5492000000000004,0.4507999999999997
4,8,diff,show,lend,0.5259999999999997,0.47400000000000025
4,9,same,show,show,0.33159999999999984,0.6684000000000002
4,9,diff,give,show,0.33120000000000005,0.6688000000000001
4,10,same,hand,hand,0.25339999999999985,0.7466000000000003
4,10,diff,send,hand,0.19599999999999984,0.804
4,11,same,loan,loan,0.46760000000000007,0.5324
4,11,diff,give,loan,0.3726000000000001,0.6273999999999998
4,12,same,sell,sell,0.2783999999999998,0.7216000000000002
4,12,diff,show,sell,0.24759999999999996,0.7524
4,13,same,send,send,0.3791999999999999,0.6208000000000001
4,13,diff,post,send,0.3952,0.6048
4,14,same,give,give,0.7014,0.29860000000000003
4,14,diff,hand,give,0.7070000000000003,0.29299999999999987
4,15,same,post,post,0.4515999999999997,0.5484000000000003
4,15,diff,send,post,0.3872,0.6128
4,16,same,show,show,0.3496000000000002,0.6503999999999998
4,16,diff,lend,show,0.3382000000000001,0.6617999999999999
4,17,same,hand,hand,0.2497999999999998,0.7502000000000002
4,17,diff,offer,hand,0.19719999999999988,0.8028000000000002
4,18,same,lend,lend,0.5623999999999999,0.43760000000000016
