Iteration, Item, Cond, Prime, Target, P_DO, P_PO
1,1,same,show,show,0.2945999999999999,0.7054
1,1,diff,give,show,0.33419999999999994,0.6658000000000002
1,2,same,hand,hand,0.22400000000000014,0.776
1,2,diff,send,hand,0.24420000000000022,0.7557999999999998
1,3,same,give,give,0.7034000000000004,0.2965999999999997
1,3,diff,lend,give,0.7010000000000001,0.299
1,4,same,loan,loan,0.36780000000000024,0.6321999999999998
1,4,diff,give,loan,0.38239999999999985,0.6176000000000001
1,5,same,send,send,0.37680000000000013,0.6231999999999999
1,5,diff,post,send,0.40440000000000004,0.5956
1,6,same,give,give,0.7018,0.29819999999999997
1,6,diff,hand,give,0.7016,0.29840000000000005
1,7,same,post,post,0.36560000000000026,0.6343999999999997
1,7,diff,sell,post,0.4092000000000002,0.5907999999999999
1,8,same,lend,lend,0.4570000000000005,0.5429999999999995
1,8,diff,show,lend,0.5034000000000002,0.4965999999999999
1,9,same,show,show,0.3434000000000003,0.6565999999999999
1,9,diff,give,show,0.3345999999999999,0.6654000000000001
1,10,same,hand,hand,0.21999999999999975,0.7800000000000004
1,10,diff,send,hand,0.26220000000000004,0.7378
1,11,same,loan,loan,0.3532000000000001,0.6467999999999999
1,11,diff,give,loan,0.3981999999999999,0.6018000000000002
1,12,same,sell,sell,0.2733999999999999,0.7265999999999999
1,12,diff,show,sell,0.27680000000000016,0.7231999999999998
1,13,same,send,send,0.3620000000000001,0.6379999999999999
1,13,diff,post,send,0.3599999999999998,0.6400000000000002
1,14,same,give,give,0.6964000000000002,0.30359999999999976
1,14,diff,hand,give,0.7120000000000002,0.28799999999999987
1,15,same,post,post,0.32880000000000026,0.6711999999999997
1,15,diff,send,post,0.4064000000000001,0.5935999999999999
1,16,same,show,show,0.30060000000000003,0.6993999999999998
1,16,diff,lend,show,0.32399999999999984,0.6760000000000002
1,17,same,hand,hand,0.23239999999999994,0.7676000000000001
1,17,diff,offer,hand,0.22439999999999988,0.7756000000000002
1,18,same,lend,lend,0.44339999999999996,0.5566
1,18,diff,sell,lend,0.5101999999999999,0.48980000000000024
1,19,same,send,send,0.37560000000000016,0.6243999999999998
1,19,diff,show,send,0.38060000000000027,0.6193999999999998
1,20,same,show,show,0.3064000000000001,0.6935999999999999
1,20,diff,throw,show,0.3333999999999999,0.6666000000000002
1,21,same,loan,loan,0.3487999999999999,0.6512
1,21,diff,give,loan,0.40299999999999997,0.5970000000000001
1,22,same,give,give,0.6771999999999998,0.3228000000000002
1,22,diff,hand,give,0.6930000000000001,0.30700000000000005
1,23,same,lend,lend,0.46219999999999983,0.5378000000000002
1,23,diff,show,lend,0.4866000000000001,0.5134
1,24,same,send,send,0.37180000000000013,0.6281999999999999
1,24,diff,post,send,0.3892000000000001,0.6107999999999999
1,25,same,give,give,0.6940000000000002,0.3059999999999998
1,25,diff,lend,give,0.7029999999999998,0.29700000000000004
1,26,same,hand,hand,0.2462,0.7537999999999999
1,26,diff,offer,hand,0.2704000000000001,0.7295999999999998
1,27,same,send,send,0.3723999999999999,0.6276
1,27,diff,show,send,0.3808000000000001,0.6191999999999998
1,28,same,show,show,0.31900000000000006,0.6809999999999999
1,28,diff,throw,show,0.3227999999999999,0.6772000000000001
1,29,same,loan,loan,0.36820000000000025,0.6317999999999997
1,29,diff,give,loan,0.4049999999999993,0.5950000000000006
1,30,same,hand,hand,0.2240000000000001,0.776
1,30,diff,give,hand,0.2596000000000001,0.7403999999999998
1,31,same,lend,lend,0.45699999999999996,0.5429999999999999
1,31,diff,show,lend,0.4712000000000002,0.5287999999999999
1,32,same,send,send,0.3666000000000005,0.6333999999999995
1,32,diff,post,send,0.3985999999999999,0.6014000000000002
2,1,same,show,show,0.32259999999999966,0.6774000000000002
2,1,diff,give,show,0.31539999999999996,0.6846000000000001
2,2,same,hand,hand,0.23519999999999996,0.7648000000000001
2,2,diff,send,hand,0.26339999999999986,0.7366000000000001
2,3,same,give,give,0.69,0.31000000000000016
2,3,diff,lend,give,0.7209999999999996,0.27900000000000036
2,4,same,loan,loan,0.35919999999999963,0.6408000000000004
2,4,diff,give,loan,0.4028,0.5972000000000001
2,5,same,send,send,0.38059999999999994,0.6194
2,5,diff,post,send,0.3744000000000002,0.6255999999999998
2,6,same,give,give,0.6882,0.31179999999999997
2,6,diff,hand,give,0.6842,0.3157999999999999
2,7,same,post,post,0.3329999999999998,0.6670000000000001
2,7,diff,sell,post,0.4018,0.5982000000000001
2,8,same,lend,lend,0.444,0.556
2,8,diff,show,lend,0.5049999999999996,0.4950000000000005
2,9,same,show,show,0.3288000000000001,0.6711999999999998
2,9,diff,give,show,0.3464000000000002,0.6535999999999998
2,10,same,hand,hand,0.22820000000000035,0.7717999999999996
2,10,diff,send,hand,0.23280000000000003,0.7672
2,11,same,loan,loan,0.34680000000000016,0.6531999999999999
2,11,diff,give,loan,0.4097999999999997,0.5902000000000003
2,12,same,sell,sell,0.28740000000000004,0.7125999999999999
2,12,diff,show,sell,0.27719999999999995,0.7228000000000002
2,13,same,send,send,0.4022,0.5978
2,13,diff,post,send,0.37699999999999956,0.6230000000000004
2,14,same,give,give,0.6794000000000002,0.3205999999999999
2,14,diff,hand,give,0.6956000000000002,0.3043999999999997
2,15,same,post,post,0.3463999999999997,0.6536000000000002
2,15,diff,send,post,0.39459999999999973,0.6054000000000002
2,16,same,show,show,0.31539999999999996,0.6846
2,16,diff,lend,show,0.32600000000000023,0.6739999999999997
2,17,same,hand,hand,0.24980000000000013,0.7501999999999999
2,17,diff,offer,hand,0.2489999999999999,0.7510000000000001
2,18,same,lend,lend,0.4730000000000004,0.5269999999999997
2,18,diff,sell,lend,0.48360000000000003,0.5164
2,19,same,send,send,0.39419999999999966,0.6058000000000003
2,19,diff,show,send,0.39059999999999995,0.6094
2,20,same,show,show,0.31719999999999987,0.6828000000000001
2,20,diff,throw,show,0.32379999999999987,0.6762000000000001
2,21,same,loan,loan,0.3449999999999999,0.655
