Iteration, Item, Cond, Target, P_DO, P_PO
1,1,control,show,0.33019999999999966,0.6698000000000004
1,2,control,hand,0.2548,0.7452000000000001
1,3,control,give,0.6714,0.3286
1,4,control,loan,0.40380000000000016,0.5961999999999998
1,5,control,send,0.4098000000000005,0.5901999999999996
1,6,control,give,0.6823999999999999,0.3176
1,7,control,post,0.3854000000000001,0.6146
1,8,control,lend,0.5141999999999997,0.4858000000000003
1,9,control,show,0.3416000000000001,0.6583999999999999
1,10,control,hand,0.2563999999999994,0.7436000000000005
1,11,control,loan,0.3667999999999997,0.6332000000000003
1,12,control,sell,0.2984000000000001,0.7015999999999999
1,13,control,send,0.39200000000000007,0.608
1,14,control,give,0.6824000000000001,0.3175999999999999
1,15,control,post,0.4181999999999998,0.5818000000000001
1,16,control,show,0.3363999999999999,0.6636000000000002
1,17,control,hand,0.26719999999999994,0.7328000000000001
1,18,control,lend,0.5111999999999999,0.48880000000000007
1,19,control,send,0.39280000000000004,0.6072
1,20,control,show,0.31420000000000015,0.6857999999999997
1,21,control,loan,0.4052000000000001,0.5947999999999999
1,22,control,give,0.7006000000000001,0.29939999999999994
1,23,control,lend,0.5154000000000001,0.4845999999999999
1,24,control,send,0.4034,0.5966000000000001
1,25,control,give,0.6817999999999999,0.3182000000000002
1,26,control,hand,0.2517999999999998,0.7482000000000002
1,27,control,send,0.3779999999999999,0.6220000000000001
1,28,control,show,0.3071999999999998,0.6928000000000001
1,29,control,loan,0.4082,0.5918000000000001
1,30,control,hand,0.24359999999999998,0.7564
1,31,control,lend,0.5037999999999999,0.4962000000000002
1,32,control,send,0.3879999999999999,0.6120000000000002
2,1,control,show,0.3416000000000002,0.6583999999999999
2,2,control,hand,0.2563999999999999,0.7436
2,3,control,give,0.6802,0.3198
2,4,control,loan,0.4171999999999998,0.5828000000000003
2,5,control,send,0.38800000000000007,0.6119999999999999
2,6,control,give,0.6885999999999999,0.3114000000000002
2,7,control,post,0.41479999999999984,0.5852000000000002
2,8,control,lend,0.5011999999999999,0.4988000000000001
2,9,control,show,0.32759999999999945,0.6724000000000006
2,10,control,hand,0.25359999999999994,0.7464000000000001
2,11,control,loan,0.3894000000000001,0.6105999999999999
2,12,control,sell,0.3012,0.6988000000000001
2,13,control,send,0.38899999999999957,0.6110000000000004
2,14,control,give,0.6845999999999999,0.3154000000000001
2,15,control,post,0.41140000000000004,0.5886
2,16,control,show,0.33059999999999984,0.6694000000000002
2,17,control,hand,0.2628000000000001,0.7371999999999999
2,18,control,lend,0.5176000000000001,0.4824
2,19,control,send,0.39320000000000027,0.6067999999999998
2,20,control,show,0.33940000000000026,0.6605999999999999
2,21,control,loan,0.40539999999999976,0.5946000000000001
2,22,control,give,0.7052000000000003,0.2947999999999997
2,23,control,lend,0.4795999999999999,0.5204
